# Auto-generated tokens (roman column intentionally empty)
# Columns: scriptChar	roman
ँ	
ं	
अ	
आ	
ई	
उ	
ऊ	
ऋ	
ए	
ओ	
औ	
क	
ख	
ग	
घ	
च	
छ	
ज	
झ	
ट	
ठ	
ड	
ढ	
ण	
त	
थ	
द	
ध	
न	
प	
फ	
ब	
भ	
म	
य	
र	
ल	
व	
श	
ष	
स	
ह	
़	
ा	
ि	
ी	
ु	
ू	
ृ	
े	
ै	
ो	
ौ	
्	
