# Auto-generated tokens (roman column intentionally empty)
# Columns: scriptChar	roman
ְ	
ִ	
ַ	
ָ	
ֹ	
ּ	
־	
א	
ב	
ג	
ד	
ה	
ו	
ז	
ח	
ט	
י	
כ	
ל	
ם	
מ	
ן	
נ	
ס	
ע	
ף	
פ	
ץ	
צ	
ק	
ר	
ש	
ת	
׳	
״	
