# Auto-generated tokens (roman column intentionally empty)
# Columns: scriptChar	roman
А	
Б	
В	
Г	
Д	
Е	
Ж	
З	
И	
К	
Л	
М	
Н	
О	
П	
Р	
С	
Т	
У	
Ф	
Х	
Ч	
Ш	
Э	
Ю	
Я	
а	
б	
в	
г	
д	
е	
ж	
з	
и	
й	
к	
л	
м	
н	
о	
п	
р	
с	
т	
у	
ф	
х	
ц	
ч	
ш	
щ	
ы	
ь	
ю	
я	
ё	
