# Auto-generated tokens (roman column intentionally empty)
# Columns: scriptChar	roman
ঁ	
ং	
অ	
আ	
ই	
উ	
ঋ	
ও	
ক	
খ	
গ	
ঘ	
ঙ	
চ	
ছ	
জ	
ঝ	
ঞ	
ট	
ঠ	
ড	
ণ	
ত	
থ	
দ	
ধ	
ন	
প	
ফ	
ব	
ভ	
ম	
য	
র	
ল	
শ	
ষ	
স	
হ	
়	
া	
ি	
ী	
ু	
ূ	
ৃ	
ে	
ৈ	
ো	
ৌ	
্	
ৎ	
