# Auto-generated tokens (roman column intentionally empty)
# Columns: scriptChar	roman
ء	
آ	
أ	
إ	
ئ	
ا	
ب	
ة	
ت	
ث	
ج	
ح	
خ	
د	
ذ	
ر	
ز	
س	
ش	
ص	
ض	
ط	
ظ	
ع	
غ	
ف	
ق	
ك	
ل	
م	
ن	
ه	
و	
ى	
ي	
َ	
ِ	
ّ	
ْ	
ڭ	
